time,active_connections,app,cpu,cpu_temperature,disk_read_bytes,disk_usage_percent,disk_write_bytes,health_status,load_avg_15m,load_avg_1m,load_avg_5m,memory,network_recv_bytes,network_sent_bytes,process_count,response_time,thread_count,timestamp,uptime_seconds
2025-03-18T18:38:04.618415Z,6,service1,0.4,0.0,8751379456,0.3,8072867840,Critical,0.0390625,0.0595703125,0.03857421875,18.7,57697,81434,1,1780.6792259216309,4,2025-03-18T18:38:04.616730,68402.61603140831
2025-03-18T18:38:04.725985Z,7,service2,0.4,0.0,8751379456,0.3,8072867840,Healthy,0.0390625,0.0595703125,0.03857421875,18.6,56084,80163,1,1256.7625045776367,4,2025-03-18T18:38:04.724188,68402.72348332405
2025-03-18T18:38:04.947758Z,6,service2,0.6,0.0,8751379456,0.3,8072867840,Healthy,0.0390625,0.0595703125,0.03857421875,18.6,56734,81965,1,1864.8574352264404,3,2025-03-18T18:38:04.945984,68402.94534349442
2025-03-18T18:38:04.966018Z,6,service1,0.7,0.0,8751379456,0.3,8072867840,Healthy,0.0390625,0.0595703125,0.03857421875,18.6,58347,83238,1,1793.7428951263428,3,2025-03-18T18:38:04.964277,68402.96357488632
2025-03-18T18:38:05.911239Z,6,service1,0.8,0.0,8751379456,0.3,8072867840,Warning,0.0390625,0.0595703125,0.03857421875,18.6,59369,85180,1,1292.3915386199951,3,2025-03-18T18:38:05.909409,68403.90846896172
2025-03-18T18:38:06.278566Z,6,service2,0.8,0.0,8751379456,0.3,8072867840,Warning,0.0390625,0.0595703125,0.03857421875,18.6,58362,84446,1,1984.6935272216797,3,2025-03-18T18:38:06.276705,68404.27605080605
2025-03-18T18:38:06.628349Z,5,service2,1.3,0.0,8751379456,0.3,8072867840,Healthy,0.0390625,0.0595703125,0.03857421875,18.6,59619,86787,1,1239.870548248291,2,2025-03-18T18:38:06.626348,68404.62558722496
2025-03-18T18:38:07.378798Z,7,service1,0.7,0.0,8751379456,0.3,8072867840,Critical,0.0390625,0.0595703125,0.03857421875,18.6,60759,87262,1,1812.251329421997,4,2025-03-18T18:38:07.377026,68405.37626934052
2025-03-18T18:38:07.969654Z,7,service1,0.5,0.0,8751379456,0.3,8072867840,Critical,0.0390625,0.0595703125,0.03857421875,18.6,61783,89204,1,1569.673776626587,4,2025-03-18T18:38:07.967920,68405.96712088585
2025-03-18T18:38:08.234805Z,6,service1,0.7,0.0,8751379456,0.3,8072867840,Warning,0.0390625,0.0595703125,0.03857421875,18.6,62433,91006,1,1237.3905181884766,3,2025-03-18T18:38:08.232906,68406.23223614693
